missed_payments,transaction_dayofweek,age,monthly_income,purchase_amount,repayment_delay_days,debt_to_income_ratio,employment_type_Salaried,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Beauty,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,default_flag
1,5,46,30440.3,5000.0,14,0.1642559370308439,0,0,1,0,0,0,1,0,0,0
1,0,46,5412.97,1393.69,10,0.2574723303472955,0,0,0,1,0,0,1,0,0,1
0,6,24,10466.07,3041.61,0,0.2906162485058862,0,0,1,0,0,1,0,0,0,0
2,0,19,6335.87,2952.49,13,0.4659959879227319,0,0,0,1,0,0,0,0,1,1
1,1,50,11575.4,3908.83,8,0.3376842268949669,0,0,0,1,1,0,0,0,0,1
1,5,39,78523.42,5000.0,7,0.0636752703843006,0,1,0,0,0,1,0,0,0,0
1,1,37,63339.19,5000.0,9,0.0789400685420827,0,1,0,0,0,0,0,0,1,0
1,4,47,15248.5,5000.0,8,0.3279011050267239,0,0,0,1,0,0,1,0,0,0
0,5,46,18942.14,5000.0,3,0.263961727661183,0,0,0,1,0,1,0,0,0,0
0,4,19,15835.81,4692.03,1,0.2962923904745005,0,0,1,0,0,1,0,0,0,0
0,2,26,5429.33,2385.61,0,0.4393930742835672,0,0,0,1,0,1,0,0,0,0
0,1,42,20691.5,1297.38,1,0.0627011091511006,0,0,0,1,0,1,0,0,0,1
0,3,56,54602.28,5000.0,1,0.091571267719956,0,1,0,0,0,1,0,0,0,0
3,3,54,24065.76,4287.21,14,0.178145630971139,0,0,1,0,0,1,0,0,0,1
0,3,43,10464.83,1061.74,4,0.1014579309936234,0,0,0,1,0,0,0,0,1,0
0,5,50,57522.65,361.73,0,0.0062884794076768,0,1,0,0,0,0,1,0,0,0
1,4,18,5000.0,1968.68,12,0.393736,0,0,0,1,0,1,0,0,0,0
1,4,48,84996.59,5000.0,22,0.0588258893680323,1,0,0,0,0,0,0,0,1,1
1,4,42,77550.04,5000.0,8,0.0644744993039333,0,1,0,0,0,0,1,0,0,0
1,4,56,11138.71,907.38,13,0.0814618568936618,0,0,0,1,1,0,0,0,0,1
0,2,38,40785.15,5000.0,0,0.1225936400871395,1,0,0,0,0,0,0,1,0,1
2,1,49,19253.2,5000.0,13,0.2596970893150229,1,0,0,0,0,0,0,0,1,0
0,1,34,19164.82,5000.0,0,0.2608947018547526,0,0,1,0,0,0,0,1,0,1
2,1,55,28572.47,5000.0,17,0.1749936214824969,0,0,1,0,0,0,0,1,0,1
1,5,43,11878.08,5000.0,12,0.4209434521404133,0,0,1,0,0,1,0,0,0,0
2,6,59,18425.61,5000.0,12,0.2713614366091543,0,0,1,0,1,0,0,0,0,0
3,1,57,7406.97,2121.61,14,0.2864342639432858,1,0,0,0,1,0,0,0,0,1
0,4,42,12102.93,3338.57,0,0.2758480797625038,0,0,0,1,0,0,0,1,0,1
0,3,49,13160.84,5000.0,0,0.3799149598353904,0,0,0,1,0,0,1,0,0,1
0,1,59,17332.01,2176.08,5,0.1255526623859552,0,0,0,1,0,0,0,1,0,0
0,2,33,55202.02,5000.0,4,0.09057639557393,0,1,0,0,0,1,0,0,0,0
3,0,36,11432.07,1905.52,11,0.1666819744805621,0,0,0,1,1,0,0,0,0,1
1,2,51,68515.47,5000.0,10,0.072976219823056,0,1,0,0,0,0,1,0,0,0
1,5,23,8417.31,2929.01,13,0.3479745904570463,0,0,1,0,0,0,0,1,0,0
0,4,20,5000.0,183.17,0,0.036634,0,0,0,1,0,1,0,0,0,0
2,3,33,18881.48,5000.0,17,0.2648097500831503,1,0,0,0,1,0,0,0,0,0
4,4,38,9668.82,1713.51,10,0.1772201778500375,0,0,1,0,1,0,0,0,0,1
0,6,18,42086.63,5000.0,5,0.1188025745943545,1,0,0,0,0,0,1,0,0,0
3,5,55,26203.0,1431.33,24,0.0546246612983246,0,0,1,0,0,0,0,0,1,1
0,3,32,7989.25,1859.88,2,0.2327978220734111,0,0,0,1,1,0,0,0,0,1
2,5,22,8065.06,1600.13,12,0.1984027397192333,0,0,0,1,0,0,0,0,1,1
2,6,33,5000.0,1280.81,20,0.256162,0,0,0,1,1,0,0,0,0,1
1,5,26,37480.04,5000.0,7,0.1334043400167129,1,0,0,0,0,0,1,0,0,0
0,0,37,112584.25,5000.0,2,0.0444111854011551,0,1,0,0,0,0,0,1,0,0
0,5,51,103557.46,100.0,4,0.0009656474772556,0,1,0,0,1,0,0,0,0,0
1,3,23,10813.51,3068.43,10,0.283758927489779,0,0,1,0,0,0,0,1,0,0
1,3,49,16785.39,3230.52,7,0.1924602288061224,0,0,0,1,0,0,0,0,1,0
2,3,28,9069.01,100.0,19,0.0110265618849245,0,0,0,1,1,0,0,0,0,1
1,2,33,11895.04,2096.37,9,0.1762390038200796,0,0,0,1,0,0,0,0,1,0
0,6,26,12398.86,2134.11,2,0.1721214692318487,0,0,0,1,0,1,0,0,0,1
1,6,46,52544.84,100.0,7,0.0019031364449867,1,0,0,0,0,0,0,0,1,0
0,3,25,15213.25,5000.0,2,0.3286608712799698,0,0,1,0,0,0,0,0,1,0
1,6,39,71234.48,5000.0,16,0.0701907278610021,0,1,0,0,1,0,0,0,0,1
2,3,20,7178.79,3148.59,11,0.4385961979665097,0,0,1,0,0,1,0,0,0,0
