age,monthly_income,purchase_amount,bnpl_installments,repayment_delay_days,missed_payments,app_usage_frequency,debt_to_income_ratio,transaction_year,transaction_month,transaction_day,transaction_dayofweek,transaction_is_weekend,employment_type_Salaried,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Beauty,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,location_Australia,location_Canada,location_Germany,location_India,location_UK,location_USA,default_flag
46,30440.3,5000.0,3,14,1,3.86,0.1642559370308439,2023,3,11,5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
46,5412.97,1393.69,12,10,1,9.93,0.2574723303472955,2023,2,13,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
24,10466.07,3041.61,3,0,0,5.95,0.2906162485058862,2024,7,28,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
19,6335.87,2952.49,3,13,2,9.69,0.4659959879227319,2023,6,19,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
50,11575.4,3908.83,9,8,1,6.2,0.3376842268949669,2023,6,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
39,78523.42,5000.0,9,7,1,6.55,0.0636752703843006,2023,5,27,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,63339.19,5000.0,6,9,1,5.03,0.0789400685420827,2023,4,11,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
47,15248.5,5000.0,6,8,1,8.84,0.3279011050267239,2024,9,20,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
46,18942.14,5000.0,9,3,0,4.39,0.263961727661183,2024,8,17,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
19,15835.81,4692.03,9,1,0,9.92,0.2962923904745005,2024,11,1,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
26,5429.33,2385.61,6,0,0,2.43,0.4393930742835672,2023,5,3,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
42,20691.5,1297.38,9,1,0,8.07,0.0627011091511006,2023,1,24,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
56,54602.28,5000.0,3,1,0,6.12,0.091571267719956,2023,4,13,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
54,24065.76,4287.21,3,14,3,7.81,0.178145630971139,2023,2,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
